model,metric,N,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,t_count,23.648296839190905,18556577.617828127,99664896.09778208,276181355.1569881
TFIM,t_count,24.167881918954894,19632688.275828872,104714931.34078854,295550037.6601546
TFIM,t_count,24.69888298596521,20771203.44462423,110019049.51171458,316275240.59589
TFIM,t_count,25.241550864908476,21975742.011304073,115589953.33255851,338451868.8194185
TFIM,t_count,25.796141891429063,23250132.725091677,121440976.95892984,362181460.4644035
TFIM,t_count,26.362918033212313,24598426.367415246,127586117.20502335,387572650.142945
TFIM,t_count,26.942147013728064,26024908.627731968,134040066.30542009,414741664.4625025
TFIM,t_count,27.534102438693033,27534113.72603046,140818246.2890229,443812852.1125845
TFIM,t_count,28.13906392531178,29130838.82531382,147936845.04412118,474919250.9310119
TFIM,t_count,28.75731723435717,30820159.279873542,155412854.1574235,508203194.5273795
TFIM,t_count,29.389154405152908,32607444.767823033,163264108.61395264,543816961.2209184
TFIM,t_count,30.034873893521777,34498376.35916956,171509328.44892064,581923468.24194
TFIM,t_count,30.694780712764878,36498964.57367708,180168162.4471649,622697014.3514905
TFIM,t_count,31.3691865777382,38615568.48591952,189261233.9903683,666324074.2535313
TFIM,t_count,32.05841005209491,40854915.938249975,198810189.15718907,713004148.4088784
TFIM,t_count,32.76277669876267,43224124.92593727,208837747.18654856,762950672.111606
TFIM,t_count,33.48261923372717,45730726.222442985,219367753.41968486,816391987.9572421
TFIM,t_count,34.218277683194565,48382687.31675628,230425234.84224257,873572386.1198763
TFIM,t_count,34.97009954420676,51188437.73887386,242036458.3535481,934753217.1625367
TFIM,t_count,35.7384399487859,54156895.85392436,254228991.8964401,1000214082.4344167
TFIM,t_count,36.523661831685196,57297497.21010619,267031768.58751112,1070254107.4601443
TFIM,t_count,37.32613610182542,60620224.53054297,280475153.9944144,1145193304.1026804
TFIM,t_count,38.14624181749827,64135639.4443923,294591016.71407646,1225374027.6839573
TFIM,t_count,38.984366365418985,67854916.05806571,309412802.41308016,1311162535.6776695
TFIM,t_count,39.840905643713086,71789876.4732706,324975611.49939764,1402950655.0492837
TFIM,t_count,40.71626424892361,75953028.36477117,341316280.60285926,1501157565.8106115
TFIM,t_count,41.61085566712708,80357604.7373151,358473468.0503599,1606231708.883113
