model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit
TFIM,cnot_count,-1.1749999999999998,198246.62615417896,52000826.367495075,20490732.043873835
TFIM,cnot_count,-1.15,195415.63675625678,51289625.956540056,20490721.57669802
TFIM,cnot_count,-1.125,192625.09902282676,50584268.69456803,20490695.267756995
TFIM,cnot_count,-1.0999999999999996,189874.4353802763,49884738.8391122,20490651.244393844
TFIM,cnot_count,-1.0749999999999997,187163.07652250136,49191020.6022178,20490587.33896697
TFIM,cnot_count,-1.0499999999999998,184490.46129385429,48503098.15005476,20490501.02884358
TFIM,cnot_count,-1.025,181856.0365738585,47820955.60252294,20490389.361154124
TFIM,cnot_count,-1.0,179259.2571636694,47144577.0328535,20490248.857598215
TFIM,t_count,-5.0,222036255.41814756,23116529441.943764,155003562.17168465
TFIM,t_count,-4.975,218533263.2742109,22903886046.84039,155001639.09709576
TFIM,t_count,-4.95,215084030.8895796,22692567748.386024,154999714.78318313
TFIM,t_count,-4.925,211687743.86364868,22482570244.675045,154997789.23026717
TFIM,t_count,-4.9,208343600.01271322,22273889234.84905,154995862.43881807
TFIM,t_count,-4.875,205050809.18778703,22066520419.099983,154993934.4094636
TFIM,t_count,-4.85,201808593.09512272,21860459498.67249,154992005.14299446
TFIM,t_count,-4.825,198616185.11939037,21655702175.86732,154990074.6403693
TFIM,t_count,-4.8,195472830.1494834,21452244154.044044,154988142.9027235
TFIM,t_count,-4.775,192377784.40690234,21250081137.624237,154986209.93137628
TFIM,t_count,-4.75,189330315.27668396,21049208832.094242,154984275.72783577
TFIM,t_count,-4.725,186329701.14083686,20849622944.008278,154982340.29380825
TFIM,t_count,-4.7,183375231.21425134,20651319180.991474,154980403.6312053
TFIM,t_count,-4.675,180466205.3830352,20454293251.743073,154978465.7421537
TFIM,t_count,-4.65,177601934.0452534,20258540866.03927,154976526.6289999
TFIM,t_count,-4.625,174781737.95402345,20064057734.736286,154974586.29432473
TFIM,t_count,-4.6,172004948.06294376,19870839569.77375,154972644.7409463
TFIM,t_count,-4.575,169270905.3738104,19678882084.177387,154970701.97193474
TFIM,t_count,-4.55,166578960.78659043,19488180992.062614,154968757.99061933
TFIM,t_count,-4.525,163928474.95162708,19298732008.637478,154966812.80059907
TFIM,t_count,-4.5,161318818.1240304,19110530850.20574,154964866.4057546
TFIM,t_count,-4.475,158749370.020228,18923573234.17035,154962918.8102588
TFIM,t_count,-4.45,156219519.6766485,18737854879.036312,154960970.0185893
TFIM,t_count,-4.425,153728665.31049564,18553371504.414246,154959020.0355385
TFIM,t_count,-4.4,151276214.18258798,18370118831.023487,154957068.8662283
TFIM,t_count,-4.375,148861582.46223617,18188092580.695217,154955116.51612395
TFIM,t_count,-4.35,146484195.0941209,18007288476.376297,154953162.99104598
TFIM,t_count,-4.325,144143485.6671477,17827702242.131954,154951208.29718527
TFIM,t_count,-4.3,141838896.28524476,17649329603.149384,154949252.44111818
TFIM,t_count,-4.275,139569877.44007757,17472166285.741245,154947295.4298227
TFIM,t_count,-4.25,137335887.88565493,17296208017.34872,154945337.27069488
TFIM,t_count,-4.225,135136394.51478887,17121450526.545282,154943377.97156408
TFIM,t_count,-4.2,132970872.2373907,16947889543.039963,154941417.54071465
TFIM,t_count,-4.175,130838803.86057203,16775520797.680782,154939455.9868989
TFIM,t_count,-4.15,128739679.97052321,16604340022.457891,154937493.31936252
TFIM,t_count,-4.125,126672998.81614268,16434342950.5079,154935529.54786104
TFIM,t_count,-4.1,124638266.19439344,16265525316.116463,154933564.68268168
TFIM,t_count,-4.075,122634995.33736078,16097882854.722427,154931598.73466668
TFIM,t_count,-4.05,120662706.8009821,15931411302.921196,154929631.7152356
TFIM,t_count,-4.025,118720928.3554274,15766106398.46821,154927663.63640967
TFIM,t_count,-4.0,116809194.87710828,15601963880.282595,154925694.5108364
TFIM,t_count,-3.9749999999999996,114927048.24228433,15438979488.451155,154923724.3518182
TFIM,t_count,-3.95,113074037.22224805,15277148964.231302,154921753.17333713
TFIM,t_count,-3.925,111249717.3800657,15116468050.05543,154919780.9900868
TFIM,t_count,-3.9,109453650.96884672,14956932489.534134,154917807.8175008
TFIM,t_count,-3.875,107685406.83152086,14798538027.460215,154915833.67178532
TFIM,t_count,-3.8499999999999996,105944560.30210297,14641280409.812344,154913858.56995147
TFIM,t_count,-3.825,104230693.10842074,14485155383.758736,154911882.52985206
TFIM,t_count,-3.8,102543393.27627997,14330158697.661121,154909905.57021573
TFIM,t_count,-3.775,100882255.03505757,14176286101.078468,154907927.71068764
TFIM,t_count,-3.75,99246878.72468431,14023533344.770817,154905948.97186732
TFIM,t_count,-3.7249999999999996,97636870.70401478,13871896180.703138,154903969.37535325
TFIM,t_count,-3.7,96051843.26054375,13721370362.049494,154901988.94378448
TFIM,t_count,-3.675,94491414.52147375,13571951643.196423,154900007.70088923
TFIM,t_count,-3.65,92955208.36608277,13423635779.747545,154898025.67153192
TFIM,t_count,-3.625,91442854.33940582,13276418528.527008,154896042.88176602
TFIM,t_count,-3.5999999999999996,89953987.56718087,13130295647.583761,154894059.35888517
TFIM,t_count,-3.575,88488248.67206174,12985262896.195614,154892075.1314825
TFIM,t_count,-3.55,87045283.69106747,12841316034.873186,154890090.22950834
TFIM,t_count,-3.525,85624743.99425317,12698450825.36398,154888104.6843328
TFIM,t_count,-3.5,84226286.20458491,12556663030.656681,154886118.52881068
TFIM,t_count,-3.4749999999999996,82849572.11899583,12415948414.985062,154884131.7973518
TFIM,t_count,-3.45,81494268.63061394,12276302743.832401,154882144.5259941
TFIM,t_count,-3.425,80160047.65213548,12137721783.935497,154880156.75247717
TFIM,t_count,-3.4,78846586.04033065,12000201303.289032,154878168.51632696
TFIM,t_count,-3.375,77553565.5216656,11863737071.14978,154876179.85893604
TFIM,t_count,-3.3499999999999996,76280672.61902182,11728324858.040955,154874190.82365796
TFIM,t_count,-3.325,75027598.57949448,11593960435.756468,154872201.4558986
TFIM,t_count,-3.3,73794039.30325897,11460639577.36534,154870211.8032151
TFIM,t_count,-3.275,72579695.2734848,11328358057.216066,154868221.9154244
TFIM,t_count,-3.25,71384271.48728012,11197111650.941,154866231.84471083
TFIM,t_count,-3.2249999999999996,70207477.38765657,11066896135.461021,154864241.64574543
TFIM,t_count,-3.2,69049026.7964936,10937707288.989697,154862251.3758088
TFIM,t_count,-3.175,67908637.8484887,10809540891.038042,154860261.09492227
TFIM,t_count,-3.15,66786032.92607907,10682392722.419022,154858270.86598644
TFIM,t_count,-3.125,65680938.59531987,10556258565.25195,154856280.75492945
TFIM,t_count,-3.0999999999999996,64593085.54270253,10431134202.96755,154854290.83085877
TFIM,t_count,-3.075,63522208.51290025,10307015420.312063,154852301.16622865
TFIM,t_count,-3.05,62468046.24742738,10183898003.35235,154850311.83701217
TFIM,t_count,-3.025,61430341.42419358,10061777739.480507,154848322.92288804
TFIM,t_count,-3.0,60408840.59794641,9940650417.418505,154846334.50743514
TFIM,t_count,-2.975,59403294.14158112,9820511827.223059,154844346.67834014
TFIM,t_count,-2.9499999999999997,58413456.18830846,9701357760.290545,154842359.52762014
TFIM,t_count,-2.925,57439084.574666634,9583184009.361774,154840373.15185443
TFIM,t_count,-2.9,56479940.784360535,9465986368.526903,154838387.6524379
TFIM,t_count,-2.875,55535789.89292147,9349760633.230383,154836403.13584083
TFIM,t_count,-2.85,54606400.51316723,9234502600.27602,154834419.71389633
TFIM,t_count,-2.8249999999999997,53691544.74145582,9120208067.831865,154832437.50409815
TFIM,t_count,-2.8,52790998.10471513,9006872835.435406,154830456.62992096
TFIM,t_count,-2.775,51904539.50824015,8894492703.998468,154828477.2211627
TFIM,t_count,-2.75,51031951.18424144,8783063475.812622,154826499.41430888
TFIM,t_count,-2.725,50173018.641136415,8672580954.554144,154824523.35291994
TFIM,t_count,-2.6999999999999997,49327530.61356725,8563040945.289288,154822549.1880466
TFIM,t_count,-2.675,48495279.01313744,8454439254.479704,154820577.07867724
TFIM,t_count,-2.65,47676058.87985029,8346771689.987419,154818607.192207
TFIM,t_count,-2.625,46869668.33424221,8240034061.080478,154816639.70495
TFIM,t_count,-2.5999999999999996,46075908.530196294,8134222178.438167,154814674.80268264
