model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,t_count,-2.3,7526578.541213916,54180423.58925665,153716934.21636328
TFIM,t_count,-2.275,7399683.885045988,53713706.76275958,153358484.95110506
TFIM,t_count,-2.25,7274752.451129965,53248957.043604426,153000001.89134565
TFIM,t_count,-2.2249999999999996,7151753.852072996,52786174.87209072,152641484.49019554
TFIM,t_count,-2.1999999999999997,7030658.148886257,52325360.69058877,152282932.17249084
TFIM,t_count,-2.175,6911435.843922993,51866514.94355827,151924344.3327529
TFIM,t_count,-2.15,6794057.873905007,51409638.077567965,151565720.33297417
TFIM,t_count,-2.125,6678495.603035336,50954730.541314386,151207059.50020114
TFIM,t_count,-2.0999999999999996,6564720.816194947,50501792.78564311,150848361.12390113
TFIM,t_count,-2.0749999999999997,6452705.7122210115,50050825.26356805,150489624.45308468
TFIM,t_count,-2.05,6342422.897264594,49601828.43029209,150130848.69315863
TFIM,t_count,-2.025,6233845.378225233,49154802.74322769,149772033.0024812
TFIM,t_count,-2.0,6126946.556260132,48709748.66201824,149413176.48858514
TFIM,t_count,-1.9749999999999996,6021700.220365341,48266666.64855917,149054278.20402852
TFIM,t_count,-1.9499999999999997,5918080.541026564,47825557.16701967,148695337.14183378
TFIM,t_count,-1.9249999999999998,5816062.063936849,47386420.68386445,148336352.23046374
TFIM,t_count,-1.9,5715619.703778593,46949257.66787661,147977322.32828203
TFIM,t_count,-1.875,5616728.738067011,46514068.59017952,147618246.2174306
TFIM,t_count,-1.8499999999999996,5519364.801052282,46080853.924259976,147259122.59705615
TFIM,t_count,-1.8249999999999997,5423503.877677442,45649614.145991586,146899950.07580185
TFIM,t_count,-1.7999999999999998,5329122.297588855,45220349.73365845,146540727.1634695
TFIM,t_count,-1.775,5236196.729196238,44793061.16797885,146181452.26174295
TFIM,t_count,-1.75,5144704.17377871,44367748.932129376,145822123.6538512
TFIM,t_count,-1.7249999999999996,5054621.959633589,43944413.51177048,145462739.49302047
TFIM,t_count,-1.6999999999999997,4965927.736264119,43523055.39507044,145103297.78955492
TFIM,t_count,-1.6749999999999998,4878599.468602438,43103675.072731435,144743796.39634526
TFIM,t_count,-1.65,4792615.431263638,42686273.038015045,144384232.9925854
TFIM,t_count,-1.625,4707954.202826656,42270849.78676872,144024605.0654256
TFIM,t_count,-1.5999999999999996,4624594.660137623,41857405.81745209,143664909.8892588
TFIM,t_count,-1.5749999999999997,4542515.972630632,41445941.63116422,143305144.50227246
TFIM,t_count,-1.5499999999999998,4461697.596661077,41036457.73167069,142945305.67983535
TFIM,t_count,-1.525,4382119.269845924,40628954.62543198,142585389.9042168
TFIM,t_count,-1.5,4303761.005405257,40223432.82163096,142225393.33002624
TFIM,t_count,-1.4749999999999996,4226603.086498714,39819892.8322024,141865311.74466193
TFIM,t_count,-1.4499999999999997,4150626.060550311,39418335.17186173,141505140.5229013
TFIM,t_count,-1.4249999999999998,4075810.7335542273,39018760.358135015,141144874.57460058
TFIM,t_count,-1.4,4002138.164354048,38621168.911388345,140784508.2842529
TFIM,t_count,-1.375,3929589.65888679,38225561.35485937,140424035.44088873
TFIM,t_count,-1.3499999999999996,3858146.7643828727,37831938.21468781,140063449.15647542
TFIM,t_count,-1.3249999999999997,3787791.263511967,37440300.01994691,139702741.7705491
TFIM,t_count,-1.2999999999999998,3718505.1684640553,37050647.30267612,139341904.73830247
TFIM,t_count,-1.275,3650270.7149540205,36662980.597913206,138980928.49867687
TFIM,t_count,-1.25,3583070.356136857,36277300.44372789,138619802.31817526
TFIM,t_count,-1.2249999999999996,3516886.756419556,35893607.38125497,138258514.10501653
TFIM,t_count,-1.1999999999999997,3451702.7851543217,35511901.9547292,137897050.1868589
TFIM,t_count,-1.1749999999999998,3387501.510196059,35132184.71151979,137535395.04348397
TFIM,t_count,-1.15,3324266.191305674,34754456.202165775,137173530.9834323
TFIM,t_count,-1.125,3261980.273378543,34378716.9804125,136811437.75040093
